year,month,masked_lon,masked_lat,TigacellID,est,se
2021,10,-13.9,28.650000000000002,-13.9_28.65,0,0
2021,10,-13.9,28.700000000000003,-13.9_28.7,0,0
2021,10,-13.9,28.85,-13.9_28.85,0,0
2021,10,-13.950000000000001,28.35,-13.95_28.35,0,0
2021,10,-13.950000000000001,28.450000000000003,-13.95_28.45,0,0
2021,10,-13.950000000000001,28.5,-13.95_28.5,0,0
2021,10,-13.950000000000001,28.6,-13.95_28.6,0,0
2021,10,-13.950000000000001,28.700000000000003,-13.95_28.7,0,0
2021,10,-14,28.35,-14_28.35,0,0
2021,10,-14,28.450000000000003,-14_28.45,0,0
2021,10,-14.05,28.200000000000003,-14.05_28.2,0,0
2021,10,-14.05,28.3,-14.05_28.3,0,0
2021,10,-14.05,28.35,-14.05_28.35,0,0
2021,10,-14.05,28.5,-14.05_28.5,0,0
2021,10,-14.05,28.55,-14.05_28.55,0,0
2021,10,-14.100000000000001,28.400000000000002,-14.1_28.4,0,0
2021,10,-14.15,28.35,-14.15_28.35,0,0
2021,10,-14.200000000000001,28.150000000000002,-14.2_28.15,0,0
2021,10,-14.25,28.150000000000002,-14.25_28.15,0,0
2021,10,-14.3,28.1,-14.3_28.1,0,0
2021,10,-14.350000000000001,28.05,-14.35_28.05,0,0
2021,10,-14.4,28.05,-14.4_28.05,0,0
2021,10,-14.450000000000001,28.05,-14.45_28.05,0,0
2021,10,-15.450000000000001,27.8,-15.45_27.8,0,0
2021,10,-15.450000000000001,27.85,-15.45_27.85,0,0
2021,10,-15.450000000000001,27.900000000000002,-15.45_27.9,0,0
2021,10,-15.450000000000001,27.950000000000003,-15.45_27.95,0,0
2021,10,-15.450000000000001,28,-15.45_28,0,0
